
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
188,1971-07-15,2008-09-04,성산,제주특별자치도 서귀포시성산읍 신난로11 성산레이더관측소 ,성산지역기상서비스센터(188),33.3868,126.8804,18.4,20.100,1.500,10.000,0.600
189,2010-11-09,,서귀포,제주특별자치도 서귀포시태평로 439번길17 서귀포관측소 ,제주지방기상청(184),33.2462,126.5653,51.86,53.160,1.700,10.000,1.500
189,1961-01-01,2010-11-09,서귀포,제주특별자치도 서귀포시태평로 439번길17 서귀포관측소 ,서귀포지역기상서비스센터(189),33.2461,126.5653,50.4,51.600,1.800,10.000,0.600
243,1972-03-01,,부안,전라북도 부안군행안면 역리315-1번지 부안기상관측소 ,전주기상대(146),35.7296,126.7166,12.2,13.500,1.800,10.000,0.600
244,1970-06-02,,임실,전라북도 임실군임실읍 운수로58임실자동기상관측소  ,전주기상대(146),35.612,127.2856,247.04,248.440,1.800,10.000,0.600
245,2016-11-01,,정읍,전라북도 정읍시서부산업도로 168-43국립전북기상과학관  ,전주기상대(146),35.5634,126.839,68.7,70.970,1.900,10.000,1.000
245,1970-01-05,2016-11-01,정읍,전라북도 정읍시서부산업도로 168-43국립전북기상과학관  ,전주기상대(146),35.5632,126.8661,44.6,46.100,1.700,10.000,0.600
247,2017-08-25,,남원,전라북도 남원시춘향로 74-32남원지역기상서비스센터  ,전주기상대(146),35.4213,127.3965,133.49,91.800,1.700,10.000,0.700
247,2013-08-01,2017-08-25,남원,전라북도 남원시춘향로 74-32남원지역기상서비스센터  ,전주기상대(146),35.4023,127.3967,127.48,91.800,1.700,10.000,0.700
247,1972-01-04,2013-08-01,남원,전라북도 남원시춘향로 74-32남원지역기상서비스센터  ,남원기상대(247),35.4054,127.333,90.29,94.700,1.800,10.000,0.600
248,1988-01-01,,장수,전라북도 장수군장수읍 선창리373-3 (장수자동관측소) ,전주기상대(146),35.657,127.5203,406.87,408.000,1.600,10.000,0.500
251,2010-12-01,,고창군,전라북도 고창군중거리당산로 74-12 상하수도사업소,전주기상대(146),35.4266,126.697,58.84,55.500,1.700,10.000,0.600
251,2008-11-28,2010-11-30,고창,전라북도 고창군중거리당산로 74-12 상하수도사업소,고창기상대(미사용 251),35.4266,126.697,54,55.300,1.800,10.000,0.700
251,2007-11-01,2008-11-28,고창,전라북도 고창군중거리당산로 74-12 상하수도사업소,고창기상대(미사용 251),35.4251,126.699,54.02,55.320,1.500,10.000,0.500
252,2007-11-26,,영광군,전라남도 영광군복호로 7영광군 현장방사능방재지휘센터 ,광주지방기상청(156),35.2837,126.4778,37.2,38.700,1.500,13.000,0.600
254,2008-07-16,,순창군,전라북도 순창군순창읍 교성리258 순창군공설운동장 ,전주기상대(146),35.3713,127.1286,129.38,128.400,1.600,10.000,0.600
256,2011-04-01,2012-07-02,주암,,순천기상대(174),35.075,127.2391,74.63,75.400,1.500,14.000,0.600
256,1972-01-21,2011-04-01,순천,,순천기상대(미사용 256),35.075,127.2391,74.4,75.400,1.500,14.000,0.600
258,2010-03-11,,보성군,전라남도 보성군득량면 예당리3046-2번지  ,여수기상대(168),34.7634,127.2123,1.41,4.300,1.500,10.000,0.600
258,2010-02-08,2010-03-10,보성군,전라남도 보성군득량면 예당리3046-2번지  ,여수기상대(168),34.7633,127.2123,2.8,,,,
259,2021-02-25,,강진군,전라남도 강진군 강진읍 종합운동장길 58-8종합운동장 내,목포기상대(165),34.6446,126.7841,16,20.000,1.500,10.000,0.600
259,2009-11-10,2021-02-25,강진군,전라남도 강진군 강진읍 종합운동장길 58-8종합운동장 내,목포기상대(165),34.6289,126.7672,9.95,13.900,1.500,10.000,0.600
260,1972-01-21,,장흥,전라남도 장흥군장흥읍 축내리271-11  ,목포기상대(165),34.6889,126.9195,43.99,46.300,1.500,10.000,0.800
261,1971-02-03,,해남,전라남도 해남군해남읍 남천리175-1 해남자동기상관측소 ,목포기상대(165),34.5538,126.5691,16.36,17.910,1.500,10.000,0.800
262,2017-08-25,,고흥,전라남도 고흥군고흥읍 행정리483-1번지  ,여수기상대(168),34.6183,127.2757,51.91,53.310,1.500,10.000,0.800
262,1972-01-22,2017-08-25,고흥,전라남도 고흥군고흥읍 행정리483-1번지  ,여수기상대(168),34.6182,127.2757,53.12,54.600,1.500,10.000,0.600
265,1971-07-15,2007-03-27,성산포,,,33.3868,126.8804,18.62,20.480,1.800,10.200,0.600
266,2017-08-25,,광양시,전라남도 광양시중동 산109-3  ,광주지방기상청(156),34.9434,127.6914,88.21,87.900,1.700,10.000,0.600
266,2011-01-01,2017-08-25,광양시,전라남도 광양시중동 산109-3  ,광주지방기상청(156),34.943,127.691,80.9,82.400,1.700,10.000,0.600
268,2014-05-09,,진도군,전라남도 진도군진도읍 남동리291  ,목포기상대(165),34.473,126.2585,9.82,6.900,1.700,10.000,0.600
